config_rule,cmmc_id,nist_800_171,what_it_proves
cmmc-s3-bucket-public-read-prohibited,AC.L2-3.1.22,3.1.22,No S3 bucket allows public read of CUI
cmmc-s3-bucket-public-write-prohibited,AC.L2-3.1.22,3.1.22,No S3 bucket allows public write
cmmc-s3-default-encryption-kms,SC.L2-3.13.16,3.13.16,CUI buckets encrypt at rest with KMS
cmmc-ebs-encrypted-volumes,SC.L2-3.13.16,3.13.16,EBS volumes encrypted at rest
cmmc-s3-ssl-requests-only,SC.L2-3.13.8,3.13.8,S3 access requires TLS (CUI in transit)
cmmc-iam-user-mfa-enabled,IA.L2-3.5.3,3.5.3,IAM users have MFA
cmmc-root-account-mfa-enabled,IA.L2-3.5.3,3.5.3,Root account has MFA
cmmc-iam-password-policy,IA.L2-3.5.7,3.5.7,Strong password policy enforced
cmmc-iam-user-no-inline-policies,AC.L2-3.1.5,3.1.5,Least privilege via groups/roles not inline
cmmc-access-keys-rotated,IA.L2-3.5.6,3.5.6,Access keys rotated within 90 days
cmmc-cloudtrail-enabled,AU.L2-3.3.1,3.3.1,Audit logging enabled
cmmc-cloudtrail-encryption,AU.L2-3.3.8,3.3.8,Audit logs encrypted
cmmc-cloudtrail-log-validation,AU.L2-3.3.8,3.3.8,Audit log integrity validation on
cmmc-vpc-flow-logs-enabled,SI.L2-3.14.6,3.14.6,Network traffic monitored
cmmc-restricted-ssh,SC.L2-3.13.6,3.13.6,No unrestricted inbound SSH
cmmc-restricted-common-ports,SC.L2-3.13.6,3.13.6,No unrestricted access to admin ports
